Custom model enabled. Expert Only!! Currently non-FPN model is not supported!! Default setting is for MS-COCO.
Namespace(amp=False, anchor_alloc_size=[384, 384], anchor_aspect_ratio=[0.5, 1.0, 2.0], anchor_base_size=16, anchor_scales=[2.0, 4.0, 8.0, 16.0, 32.0], batch_size=2, clip=4.14, custom_model='custom-model', dataset='coco', disable_hybridization=False, epochs=126, executor_threads=1, gpus='0,1,2,3,4,5,6,7', horovod=False, image_max_size=1333, image_short=800, kv_store='dist-sync-perseus', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000, lr_warmup_factor=0.3333333333333333, max_num_gt=100, mixup=False, momentum=0.9, network='resnet50_v1b', nms_thresh=0.5, nms_topk=-1, no_mixup_epochs=20, no_pretrained_base=False, norm_layer='syncbn', num_box_head_conv=4, num_box_head_conv_filters=256, num_box_head_dense_filters=1024, num_fpn_filters=256, num_workers=4, post_nms=-1, profiler='0', rcnn_num_samples=512, rcnn_pos_iou_thresh=0.5, rcnn_pos_ratio=0.25, rcnn_smoothl1_rho=1.0, resume='', roi_mode='align', roi_size=[7, 7], rpn_channel=256, rpn_min_size=1, rpn_nms_thresh=0.7, rpn_smoothl1_rho=0.1111111111111111, rpn_test_post_nms=1000, rpn_test_pre_nms=6000, rpn_train_post_nms=2000, rpn_train_pre_nms=12000, save_interval=1, save_prefix='save-parameter/custom_faster_rcnn_fpn_resnet50_v1b_coco', seed=233, start_epoch=0, static_alloc=False, strides=[4, 8, 16, 32, 64], use_fpn=True, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.00041666666666666664
rank:0, [Epoch 0][Batch 2499], Speed: 5.884 samples/sec, RPN_Conf=0.147,RPN_SmoothL1=0.069,RCNN_CrossEntropy=0.541,RCNN_SmoothL1=0.189,RPNAcc=0.942,RPNL1Loss=0.581,RCNNAcc=0.916,RCNNL1Loss=2.278
rank:0, [Epoch 0][Batch 2599], Speed: 5.938 samples/sec, RPN_Conf=0.145,RPN_SmoothL1=0.069,RCNN_CrossEntropy=0.541,RCNN_SmoothL1=0.191,RPNAcc=0.943,RPNL1Loss=0.579,RCNNAcc=0.916,RCNNL1Loss=2.279
rank:0, [Epoch 0][Batch 2699], Speed: 5.967 samples/sec, RPN_Conf=0.144,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.543,RCNN_SmoothL1=0.193,RPNAcc=0.943,RPNL1Loss=0.576,RCNNAcc=0.915,RCNNL1Loss=2.280
rank:0, [Epoch 0][Batch 2799], Speed: 5.922 samples/sec, RPN_Conf=0.142,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.544,RCNN_SmoothL1=0.195,RPNAcc=0.944,RPNL1Loss=0.574,RCNNAcc=0.914,RCNNL1Loss=2.280
rank:0, [Epoch 0][Batch 2899], Speed: 5.978 samples/sec, RPN_Conf=0.141,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.546,RCNN_SmoothL1=0.197,RPNAcc=0.944,RPNL1Loss=0.572,RCNNAcc=0.914,RCNNL1Loss=2.281
rank:0, [Epoch 0][Batch 2999], Speed: 6.008 samples/sec, RPN_Conf=0.140,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.547,RCNN_SmoothL1=0.199,RPNAcc=0.945,RPNL1Loss=0.570,RCNNAcc=0.913,RCNNL1Loss=2.283
rank:0, [Epoch 0][Batch 3099], Speed: 5.960 samples/sec, RPN_Conf=0.139,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.549,RCNN_SmoothL1=0.201,RPNAcc=0.945,RPNL1Loss=0.568,RCNNAcc=0.912,RCNNL1Loss=2.283
rank:0, [Epoch 0][Batch 3199], Speed: 5.905 samples/sec, RPN_Conf=0.137,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.549,RCNN_SmoothL1=0.202,RPNAcc=0.946,RPNL1Loss=0.567,RCNNAcc=0.912,RCNNL1Loss=2.284
rank:0, [Epoch 0][Batch 3299], Speed: 5.915 samples/sec, RPN_Conf=0.136,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.550,RCNN_SmoothL1=0.204,RPNAcc=0.946,RPNL1Loss=0.565,RCNNAcc=0.911,RCNNL1Loss=2.285
rank:0, [Epoch 0][Batch 3399], Speed: 5.928 samples/sec, RPN_Conf=0.135,RPN_SmoothL1=0.067,RCNN_CrossEntropy=0.551,RCNN_SmoothL1=0.206,RPNAcc=0.947,RPNL1Loss=0.562,RCNNAcc=0.911,RCNNL1Loss=2.283
